metal_type,pouring_temperature,mold_material,cooling_rate,section_thickness,pouring_speed,porosity,shrinkage,cold_shut
Cast Iron,1154.82,die,high,22.06,1.59,0,0,0
Aluminum,699.89,sand,high,47.04,0.72,0,0,1
Cast Iron,1251.12,sand,low,14.59,1.27,1,1,0
Steel,1457.99,ceramic,low,9.67,2.75,1,1,0
Steel,1486.01,die,medium,20.45,1.94,1,1,0
Cast Iron,1316.42,ceramic,medium,38.57,2.36,1,1,1
Cast Iron,1242.51,ceramic,medium,33.17,1.93,0,1,1
Aluminum,693.46,die,medium,23.71,0.99,0,1,1
Cast Iron,1289.76,die,low,48.41,1.99,1,1,1
Aluminum,721.49,sand,high,38.07,2.39,0,0,1
Steel,1564.29,ceramic,high,7.78,0.85,1,1,0
Cast Iron,1316.1,die,high,38.51,2.54,1,0,0
Aluminum,673.23,ceramic,medium,6.08,1.89,0,0,1
Aluminum,656.64,ceramic,low,34.26,0.51,0,1,1
Steel,1507.04,die,low,14.47,1.8,1,1,0
Cast Iron,1321.02,sand,low,36.34,1.49,1,1,1
Steel,1461.7,ceramic,high,18.94,1.24,0,0,0
Aluminum,707.6,die,medium,44.29,2.43,0,1,1
Aluminum,720.11,sand,low,20.16,2.75,1,1,1
Cast Iron,1246.28,ceramic,medium,32.89,2.41,1,1,1
Aluminum,675.52,die,low,17.87,2.62,1,1,1
Cast Iron,1215.26,ceramic,medium,46.27,2.77,1,1,1
Steel,1460.75,die,low,40.14,2.78,1,1,1
Cast Iron,1208.52,die,medium,15.95,0.79,0,1,0
Cast Iron,1158.88,ceramic,low,47.7,1.64,1,1,1
Aluminum,722.63,ceramic,low,21.07,0.5,0,1,1
Aluminum,739.8,die,medium,34.33,1.77,0,1,1
Cast Iron,1276.7,sand,medium,38.43,2.81,1,1,1
Aluminum,715.67,ceramic,high,6.03,1.0,0,0,1
Aluminum,697.21,die,medium,48.15,2.1,0,1,1
Aluminum,665.6,die,low,20.5,2.11,0,1,1
Cast Iron,1151.55,sand,low,13.54,0.9,1,1,1
Aluminum,684.4,sand,medium,43.28,1.1,0,1,1
Cast Iron,1300.3,sand,high,36.63,1.66,0,1,1
Aluminum,746.04,ceramic,medium,8.9,0.97,0,0,1
Steel,1514.66,die,low,10.27,1.96,1,1,0
Aluminum,686.54,die,low,37.18,1.71,0,1,1
Aluminum,694.6,die,high,8.37,1.8,0,0,0
Cast Iron,1235.55,sand,medium,46.27,0.84,0,1,1
Cast Iron,1275.18,die,low,38.37,1.79,1,1,1
Aluminum,723.41,ceramic,low,20.1,0.62,0,1,1
Steel,1567.74,sand,low,21.33,2.7,1,1,0
Aluminum,714.96,sand,medium,27.79,1.36,0,0,1
Aluminum,693.77,sand,medium,21.24,2.64,0,0,1
Steel,1592.52,sand,high,40.26,2.25,1,1,0
Cast Iron,1292.2,ceramic,low,48.86,2.42,1,1,1
Aluminum,692.67,die,low,31.3,1.29,0,1,1
Cast Iron,1239.32,ceramic,high,25.07,1.07,0,0,1
Cast Iron,1313.6,die,low,15.02,1.52,1,1,0
Steel,1516.08,ceramic,high,34.4,0.56,0,1,1
Steel,1527.44,sand,high,35.85,2.8,1,1,0
Cast Iron,1208.31,sand,low,35.83,1.47,1,1,1
Aluminum,733.89,ceramic,medium,6.21,2.97,1,0,1
Cast Iron,1254.46,ceramic,medium,45.46,2.4,1,1,1
Aluminum,705.25,die,medium,20.21,0.7,0,0,0
Aluminum,738.07,ceramic,medium,38.49,2.15,0,1,1
Steel,1588.08,ceramic,low,39.19,1.18,1,1,0
Aluminum,732.42,die,high,34.27,1.11,0,0,1
Aluminum,656.54,die,high,22.77,1.14,0,0,1
Cast Iron,1238.7,die,low,32.38,2.79,1,1,1
Steel,1501.5,ceramic,medium,6.81,1.75,1,1,0
Aluminum,671.35,die,high,39.29,2.17,0,0,1
Aluminum,740.9,sand,low,9.48,1.2,0,1,1
Steel,1583.51,sand,low,22.85,1.81,1,1,0
Cast Iron,1243.06,sand,medium,9.66,1.38,0,1,0
Steel,1470.18,ceramic,low,42.67,1.3,1,1,1
Steel,1452.0,sand,high,29.76,1.12,0,0,0
Aluminum,693.85,ceramic,high,36.09,1.52,0,0,1
Aluminum,654.0,ceramic,low,35.72,2.15,0,1,1
Cast Iron,1271.91,sand,high,42.87,1.06,0,1,1
Aluminum,710.84,die,low,10.97,2.91,1,1,0
Aluminum,739.89,ceramic,high,34.69,0.81,0,0,1
Steel,1478.51,sand,medium,30.88,1.7,1,1,0
Aluminum,687.14,ceramic,high,6.39,0.71,0,0,1
Cast Iron,1321.91,die,medium,14.06,0.56,0,1,0
Steel,1521.14,die,medium,17.04,2.81,1,1,0
Cast Iron,1161.94,sand,low,8.27,2.53,1,1,0
Steel,1466.62,ceramic,medium,20.96,2.24,1,1,0
Aluminum,731.35,ceramic,high,6.22,2.66,0,0,1
Steel,1561.55,ceramic,high,29.89,2.51,1,1,0
Steel,1581.38,ceramic,medium,14.52,2.12,1,1,0
Aluminum,661.89,sand,low,17.92,2.62,1,1,1
Aluminum,726.04,die,medium,45.97,1.48,0,1,1
Cast Iron,1281.02,sand,high,27.63,1.88,0,0,0
Cast Iron,1196.46,ceramic,high,17.11,2.44,0,0,0
Aluminum,747.39,ceramic,medium,31.93,0.71,0,1,1
Aluminum,707.04,die,medium,14.08,2.65,0,0,1
Aluminum,740.69,ceramic,medium,8.35,0.89,0,0,1
Steel,1578.86,sand,high,5.94,2.66,1,0,0
Steel,1499.97,sand,high,47.82,1.28,0,1,1
Steel,1530.39,die,high,37.61,1.32,1,1,0
Aluminum,693.14,sand,low,41.0,0.68,0,1,1
Cast Iron,1291.82,sand,high,49.14,2.71,1,1,1
Aluminum,708.8,sand,high,46.92,0.94,0,0,1
Steel,1567.73,sand,low,38.16,2.08,1,1,1
Steel,1451.76,ceramic,low,36.23,2.11,1,1,0
Aluminum,718.78,sand,low,20.16,1.2,0,1,1
Aluminum,681.91,die,low,9.68,2.96,1,1,0
Steel,1483.63,die,low,30.82,0.66,1,1,0
Steel,1570.19,sand,low,30.93,2.02,1,1,1
Steel,1463.38,die,medium,47.85,1.7,1,1,1
Aluminum,672.85,sand,medium,24.92,1.11,0,0,1
Steel,1480.56,die,medium,36.09,0.91,1,1,0
Steel,1512.97,die,medium,30.87,2.34,1,1,0
Cast Iron,1214.47,sand,high,12.95,2.79,1,0,0
Aluminum,722.05,sand,low,31.64,0.77,0,1,1
Cast Iron,1289.87,ceramic,high,29.31,0.98,0,0,0
Cast Iron,1215.09,sand,low,27.23,2.97,1,1,1
Steel,1515.55,sand,low,28.1,0.54,1,1,0
Aluminum,670.79,ceramic,high,12.38,1.77,0,0,1
Steel,1550.63,sand,medium,25.86,1.79,1,1,0
Aluminum,689.62,sand,high,32.25,1.16,0,0,1
Cast Iron,1176.57,ceramic,high,27.03,2.16,0,0,1
Aluminum,662.73,sand,low,26.99,2.86,1,1,1
Steel,1498.35,sand,low,8.49,1.63,1,1,0
Steel,1562.1,ceramic,low,13.58,2.37,1,1,0
Steel,1453.83,ceramic,medium,19.44,2.12,1,1,0
Aluminum,675.78,die,high,23.87,1.68,0,0,1
Cast Iron,1182.5,sand,high,31.73,0.62,0,1,1
Cast Iron,1341.3,die,medium,43.85,2.35,1,1,1
Aluminum,720.53,die,high,12.16,1.41,0,0,1
Steel,1484.98,ceramic,high,5.68,1.06,0,0,0
Cast Iron,1191.49,sand,low,25.22,2.87,1,1,1
Steel,1578.7,sand,medium,24.44,2.43,1,1,0
Aluminum,669.02,ceramic,low,29.84,2.91,1,1,1
Steel,1599.56,die,medium,42.49,1.14,1,1,0
Cast Iron,1206.46,ceramic,low,41.11,2.59,1,1,1
Cast Iron,1166.87,sand,high,9.5,2.02,0,0,0
Steel,1553.64,ceramic,medium,47.03,2.95,1,1,1
Aluminum,710.96,sand,medium,9.97,2.87,1,0,1
Steel,1599.97,die,low,33.56,2.93,1,1,0
Aluminum,730.21,sand,medium,35.26,2.88,0,1,1
Steel,1514.33,die,high,35.59,0.52,0,1,0
Cast Iron,1285.32,die,high,16.94,2.35,0,0,0
Aluminum,731.78,sand,high,19.87,1.18,0,0,1
Aluminum,701.37,sand,low,29.69,2.26,1,1,1
Aluminum,677.29,die,medium,13.98,2.95,0,0,0
Cast Iron,1192.02,ceramic,low,5.91,0.6,0,1,0
Steel,1494.29,sand,high,30.3,1.92,0,0,0
Cast Iron,1319.61,die,medium,25.94,2.34,1,1,0
Aluminum,688.04,die,high,34.55,1.13,0,0,1
Steel,1493.0,ceramic,medium,11.6,1.06,0,0,0
Cast Iron,1311.18,sand,medium,42.84,0.65,0,1,1
Aluminum,653.19,die,low,11.58,0.73,0,1,1
Aluminum,709.4,ceramic,medium,45.11,2.14,0,1,1
Cast Iron,1324.73,die,high,25.23,1.76,1,1,0
Cast Iron,1232.02,sand,medium,29.74,0.58,1,1,1
Cast Iron,1203.86,ceramic,high,45.35,2.92,1,0,1
Aluminum,699.17,die,low,18.5,2.14,1,1,1
Cast Iron,1293.5,ceramic,high,13.18,1.79,1,0,0
Aluminum,701.66,sand,medium,25.06,1.18,0,0,1
Cast Iron,1151.53,ceramic,high,16.0,2.15,0,0,1
Aluminum,657.83,sand,high,28.75,1.41,0,0,1
Aluminum,722.13,die,medium,17.39,2.26,0,0,1
Steel,1509.99,sand,high,43.9,2.21,0,0,0
Cast Iron,1306.96,die,medium,32.33,0.73,0,1,0
Cast Iron,1279.9,die,low,5.01,2.77,1,1,0
Aluminum,708.15,sand,high,41.25,1.72,0,0,1
Aluminum,740.14,die,low,19.86,1.48,0,1,1
Aluminum,652.13,ceramic,high,19.41,2.89,0,0,1
Steel,1473.26,die,high,22.24,1.6,1,0,0
Steel,1543.66,sand,low,33.36,2.3,1,1,0
Aluminum,656.58,ceramic,high,24.89,2.14,0,0,1
Cast Iron,1278.99,ceramic,high,33.29,0.91,0,0,1
Cast Iron,1346.82,die,low,11.61,2.98,1,1,0
Steel,1581.82,die,high,48.66,1.66,1,1,0
Steel,1538.64,sand,medium,37.83,1.49,1,1,0
Aluminum,739.4,ceramic,high,16.26,2.8,0,0,1
Cast Iron,1173.25,sand,high,37.59,1.82,0,0,1
Aluminum,695.47,die,high,30.88,2.26,0,0,1
Steel,1514.3,ceramic,low,9.91,2.62,1,1,0
Cast Iron,1217.29,sand,medium,13.02,1.09,0,0,0
Cast Iron,1150.04,sand,medium,6.86,0.92,0,0,0
Steel,1583.65,sand,high,41.42,0.67,0,0,0
Aluminum,727.77,sand,low,29.83,2.74,1,1,1
Aluminum,715.29,sand,low,19.25,1.0,0,1,1
Cast Iron,1175.79,ceramic,medium,10.69,1.27,1,1,0
Steel,1506.73,sand,low,26.78,1.21,1,1,0
Cast Iron,1334.87,ceramic,high,28.64,1.26,0,1,1
Steel,1542.54,sand,high,36.59,2.17,1,0,0
Aluminum,710.34,die,low,48.65,2.89,1,1,1
Steel,1586.97,die,high,24.57,1.32,0,0,0
Aluminum,705.98,sand,medium,23.27,1.52,0,1,1
Steel,1539.64,die,high,21.65,2.43,1,0,0
Cast Iron,1219.14,ceramic,low,42.21,1.58,1,1,1
Aluminum,687.14,sand,medium,12.03,2.82,0,0,1
Cast Iron,1287.12,ceramic,high,20.47,1.76,0,0,0
Cast Iron,1214.09,sand,medium,37.62,1.37,0,1,1
Aluminum,705.91,die,low,5.71,2.93,1,1,1
Aluminum,677.92,ceramic,high,18.02,1.56,0,0,1
Cast Iron,1183.23,die,high,33.87,1.08,0,0,0
Cast Iron,1240.88,die,medium,13.37,0.94,1,1,0
Cast Iron,1193.49,sand,high,18.62,2.99,1,0,1
Cast Iron,1329.7,ceramic,high,26.87,2.38,1,0,0
Aluminum,680.36,die,high,23.99,1.52,0,0,1
Aluminum,709.74,sand,high,9.77,2.57,0,0,1
Cast Iron,1202.69,sand,low,47.22,1.87,1,1,1
Steel,1488.7,sand,high,6.99,1.29,0,0,0
Steel,1502.6,die,medium,38.74,2.36,1,1,0
Aluminum,741.59,sand,low,8.21,2.36,1,1,1
Cast Iron,1228.3,ceramic,medium,26.03,1.75,1,1,1
Cast Iron,1314.25,ceramic,medium,12.89,0.61,0,1,0
Aluminum,669.73,die,medium,11.35,0.69,0,0,0
Steel,1457.23,ceramic,low,10.67,2.47,1,1,0
Steel,1567.25,sand,low,25.38,2.56,1,1,0
Steel,1531.28,die,low,28.2,2.2,1,1,0
Aluminum,700.37,sand,high,11.0,2.6,0,0,1
Steel,1490.83,die,medium,49.07,2.3,1,1,0
Aluminum,657.23,die,low,16.6,2.74,1,1,1
Aluminum,698.29,sand,medium,25.65,0.88,0,1,1
Cast Iron,1323.45,ceramic,low,14.73,1.47,1,1,0
Steel,1468.0,ceramic,low,27.23,1.66,1,1,0
Aluminum,742.92,die,low,39.02,1.24,0,1,1
Steel,1491.21,sand,medium,28.45,2.31,1,1,0
Steel,1529.83,sand,high,17.85,2.78,1,1,0
Cast Iron,1163.3,die,low,16.18,1.53,1,1,0
Steel,1513.76,ceramic,low,39.15,2.85,1,1,1
Cast Iron,1175.18,sand,low,10.32,1.79,1,1,0
Aluminum,654.8,ceramic,high,21.65,1.81,0,0,1
Steel,1594.98,ceramic,medium,11.82,2.0,1,1,0
Aluminum,723.01,die,medium,16.61,1.17,0,0,0
Steel,1557.86,die,medium,11.87,1.46,1,1,0
Aluminum,659.05,ceramic,medium,44.9,1.88,0,1,1
Steel,1589.4,sand,low,37.94,2.85,1,1,0
Steel,1520.42,sand,high,30.24,2.11,1,0,0
Steel,1577.84,die,low,15.1,1.33,1,1,0
Steel,1451.89,ceramic,high,27.96,0.53,0,0,0
Steel,1494.73,sand,medium,28.44,2.95,1,1,0
Steel,1599.41,sand,high,31.57,1.73,1,1,0
Steel,1514.18,die,low,7.7,2.85,1,1,0
Steel,1583.27,ceramic,low,48.78,1.87,1,1,1
Steel,1499.2,sand,medium,25.94,2.01,1,1,1
Aluminum,702.53,die,low,46.69,2.28,1,1,1
Cast Iron,1320.84,sand,low,5.44,1.3,1,1,0
Steel,1540.87,sand,high,16.14,2.25,1,1,0
Cast Iron,1295.04,sand,low,9.68,1.82,1,1,0
Steel,1484.32,die,medium,39.63,2.18,1,1,0
Steel,1473.38,ceramic,medium,19.41,2.59,1,1,0
Aluminum,673.03,die,low,42.82,0.96,0,1,1
Aluminum,699.3,ceramic,medium,42.46,2.03,0,0,1
Cast Iron,1310.19,sand,high,35.05,0.63,0,1,1
Aluminum,685.4,ceramic,high,34.96,0.76,0,0,1
Aluminum,706.48,sand,low,36.51,2.19,1,1,1
Cast Iron,1310.96,sand,low,35.32,0.68,0,1,0
Aluminum,673.88,die,high,22.41,1.99,0,0,1
Steel,1582.45,sand,medium,35.73,1.05,1,1,0
Cast Iron,1340.62,die,low,45.38,1.26,1,1,0
Cast Iron,1157.79,ceramic,low,19.97,0.82,0,1,0
Steel,1458.87,ceramic,medium,47.52,1.12,1,1,1
Aluminum,659.1,sand,low,5.61,2.55,0,0,0
Cast Iron,1305.35,die,medium,20.71,2.1,1,1,0
Cast Iron,1187.87,sand,medium,10.94,2.87,1,1,0
Steel,1558.85,die,medium,10.7,0.62,1,1,0
Steel,1516.19,die,medium,41.69,2.48,1,1,0
Aluminum,733.63,die,medium,46.33,2.25,0,0,1
Cast Iron,1311.71,ceramic,high,40.0,1.15,0,1,1
Aluminum,745.97,die,medium,48.95,2.32,1,1,1
Aluminum,675.1,ceramic,high,14.73,2.29,0,0,1
Steel,1484.39,die,medium,11.34,1.65,1,1,0
Cast Iron,1156.3,ceramic,low,28.43,2.22,1,1,1
Cast Iron,1232.08,ceramic,high,42.31,1.61,0,0,1
Cast Iron,1241.81,ceramic,low,6.79,1.34,1,1,0
Steel,1594.68,sand,medium,49.8,1.67,1,1,1
Steel,1574.62,die,medium,32.1,2.74,1,1,0
Steel,1475.02,sand,low,49.05,1.46,1,1,1
Steel,1569.77,die,medium,21.43,1.51,1,1,0
Steel,1476.74,die,low,25.61,2.02,1,1,0
Cast Iron,1165.55,sand,medium,38.86,2.38,1,1,1
Aluminum,733.71,ceramic,medium,40.67,2.34,0,1,1
Cast Iron,1345.19,die,high,15.49,0.55,0,0,0
Aluminum,658.81,ceramic,low,46.84,2.22,0,1,1
Steel,1572.09,sand,medium,44.03,1.63,1,1,1
Aluminum,735.92,ceramic,low,5.82,1.81,0,1,0
Cast Iron,1173.75,die,high,10.79,1.9,0,0,0
Cast Iron,1206.65,die,low,27.32,2.33,1,1,0
Aluminum,723.37,die,high,25.74,2.58,0,0,1
Steel,1571.16,sand,low,36.88,2.12,1,1,0
Steel,1503.1,die,low,9.04,1.91,1,1,0
Cast Iron,1181.99,sand,high,34.02,1.43,0,1,1
Aluminum,714.83,ceramic,medium,32.74,0.84,0,1,1
Steel,1555.3,die,medium,15.51,2.9,1,1,0
Steel,1525.54,die,medium,29.41,1.65,1,1,0
Cast Iron,1178.99,die,low,15.0,1.92,1,1,0
Steel,1576.67,ceramic,low,11.61,2.38,1,1,0
Aluminum,714.53,die,medium,30.79,0.67,0,1,1
Cast Iron,1323.83,sand,low,48.99,2.64,1,1,1
Cast Iron,1336.59,ceramic,low,15.66,2.49,1,1,0
Aluminum,730.57,ceramic,medium,20.99,2.44,0,0,1
Cast Iron,1341.73,ceramic,high,16.55,0.55,0,0,0
Steel,1593.14,ceramic,low,16.99,1.82,1,1,0
Steel,1542.9,ceramic,low,23.19,0.64,1,1,0
Aluminum,722.82,sand,low,36.58,1.88,1,1,1
Steel,1554.91,ceramic,low,6.75,2.3,1,1,0
Aluminum,712.11,die,high,48.07,0.8,0,0,1
Aluminum,651.94,ceramic,medium,7.08,2.24,0,0,1
Steel,1503.39,ceramic,low,44.66,1.62,1,1,1
Aluminum,660.01,ceramic,medium,45.25,2.53,1,1,1
Steel,1495.04,ceramic,low,28.6,1.83,1,1,0
Cast Iron,1163.71,ceramic,high,11.16,1.34,0,0,0
Cast Iron,1334.01,sand,medium,30.43,1.33,1,1,1
Aluminum,695.13,sand,high,33.29,2.74,0,0,1
Steel,1478.4,ceramic,low,43.6,1.63,1,1,1
Steel,1537.72,sand,high,29.79,1.51,0,0,0
Cast Iron,1189.29,die,high,23.48,0.6,0,0,0
Cast Iron,1310.89,ceramic,low,42.72,1.41,1,1,1
Steel,1495.89,die,low,49.14,2.62,1,1,0
Aluminum,681.49,die,medium,34.03,2.4,0,0,1
Cast Iron,1323.99,ceramic,low,44.35,1.05,1,1,1
Aluminum,705.92,die,medium,31.94,1.53,0,1,1
Aluminum,738.73,die,high,36.04,0.99,0,0,1
Cast Iron,1232.58,die,high,35.97,2.89,1,0,0
Aluminum,684.39,ceramic,medium,36.72,2.0,0,0,1
Aluminum,700.62,ceramic,low,19.45,2.39,0,1,1
Steel,1459.22,die,low,30.9,2.28,1,1,0
Aluminum,665.42,ceramic,high,31.74,2.68,0,0,1
Steel,1482.93,ceramic,medium,19.18,2.87,1,1,0
Cast Iron,1313.34,die,high,20.74,0.58,0,0,0
Cast Iron,1296.76,ceramic,high,39.3,2.94,1,0,1
Steel,1479.0,sand,low,31.22,2.68,1,1,0
Cast Iron,1205.35,ceramic,medium,11.71,1.46,0,1,0
Aluminum,744.43,sand,high,42.69,2.59,0,0,1
Aluminum,658.58,die,low,44.74,2.34,1,1,1
Aluminum,704.75,ceramic,high,25.98,2.48,0,0,1
Cast Iron,1254.4,die,high,14.4,1.05,0,0,0
Aluminum,722.57,die,low,47.64,2.12,1,1,1
Cast Iron,1202.29,die,low,44.7,0.56,1,1,1
Aluminum,743.48,die,medium,16.0,2.62,1,1,1
Steel,1511.59,die,high,9.3,2.88,1,0,0
Cast Iron,1207.14,ceramic,medium,24.83,2.16,0,0,0
Cast Iron,1217.37,sand,low,35.44,1.78,1,1,1
Aluminum,684.87,ceramic,low,12.89,2.31,1,1,1
Cast Iron,1189.79,ceramic,high,28.09,1.32,0,0,1
Cast Iron,1335.61,ceramic,medium,24.14,2.07,1,1,0
Steel,1476.23,ceramic,medium,45.07,2.3,1,1,1
Steel,1582.42,sand,high,24.33,0.86,0,1,0
Aluminum,690.49,ceramic,high,29.02,0.85,0,0,1
Steel,1490.39,die,medium,47.99,2.29,1,1,0
Aluminum,669.85,ceramic,low,18.49,1.58,0,1,1
Aluminum,700.43,ceramic,low,18.0,2.72,1,1,1
Aluminum,716.93,sand,high,40.98,1.28,0,0,1
Cast Iron,1329.64,sand,medium,17.49,0.61,0,1,0
Steel,1547.87,die,medium,42.43,2.12,1,1,1
Aluminum,698.37,ceramic,medium,9.3,2.21,1,1,1
Steel,1455.02,ceramic,low,10.01,1.88,1,1,0
Aluminum,741.54,ceramic,low,45.56,2.21,1,1,1
Steel,1585.36,die,medium,29.34,1.81,1,1,0
Steel,1506.81,sand,medium,37.35,2.23,1,1,1
Aluminum,652.9,die,high,15.14,0.61,0,0,1
Cast Iron,1296.67,ceramic,high,12.48,1.42,0,0,0
Steel,1568.75,sand,medium,42.57,1.03,1,1,1
Cast Iron,1258.49,sand,medium,21.14,0.75,0,1,0
Cast Iron,1230.57,die,low,25.48,1.09,0,1,0
Aluminum,735.11,sand,medium,6.26,0.98,0,0,1
Aluminum,669.25,sand,high,22.36,2.93,0,0,1
Aluminum,693.96,ceramic,low,39.67,1.22,0,1,1
Steel,1453.67,ceramic,high,41.96,1.08,0,1,1
Aluminum,666.4,sand,high,36.44,2.59,0,0,1
Aluminum,744.08,sand,low,36.15,1.55,0,1,1
Steel,1536.71,die,high,27.78,1.55,1,1,0
Steel,1570.84,die,medium,29.22,1.61,1,1,0
Aluminum,698.65,sand,high,38.42,1.54,0,0,1
Aluminum,733.48,ceramic,low,16.13,1.32,0,1,1
Aluminum,703.9,sand,low,15.42,1.22,0,1,1
Aluminum,650.45,sand,low,47.75,2.7,1,1,1
Cast Iron,1329.94,ceramic,high,6.25,0.9,0,0,0
Cast Iron,1179.71,ceramic,medium,11.28,0.95,0,1,0
Aluminum,695.06,die,low,30.66,1.93,0,1,1
Cast Iron,1245.33,die,medium,38.2,1.36,0,1,0
Steel,1457.09,die,low,29.21,1.55,1,1,0
Cast Iron,1160.61,die,medium,20.98,2.52,1,1,1
Cast Iron,1302.51,ceramic,medium,49.01,2.76,1,1,1
Aluminum,680.05,sand,medium,36.67,2.48,0,0,1
Cast Iron,1231.93,die,low,42.41,1.09,1,1,0
Cast Iron,1262.82,die,high,6.81,2.95,1,0,0
Cast Iron,1224.68,ceramic,high,15.62,1.41,0,0,0
Cast Iron,1305.01,ceramic,high,21.84,0.92,0,1,1
Steel,1582.67,sand,medium,13.22,1.75,1,1,0
Aluminum,655.97,sand,low,8.28,2.31,1,1,1
Aluminum,713.54,ceramic,medium,15.13,0.71,0,0,1
Steel,1497.65,die,low,29.01,2.09,1,1,0
Cast Iron,1266.66,die,medium,36.31,2.65,1,1,0
Steel,1522.59,die,low,39.83,1.15,1,1,0
Cast Iron,1216.74,sand,low,6.93,2.23,1,1,0
Steel,1464.22,die,low,24.26,1.5,1,1,0
Aluminum,705.94,die,medium,10.5,1.54,0,0,1
Aluminum,661.28,ceramic,high,24.4,1.2,0,0,1
Aluminum,665.61,die,medium,24.53,2.06,0,0,1
Cast Iron,1346.44,ceramic,medium,27.42,1.4,1,1,0
Cast Iron,1213.34,die,low,45.18,2.58,1,1,1
Steel,1537.67,sand,low,41.23,2.91,1,1,1
Steel,1490.83,die,high,33.65,2.84,1,1,0
Aluminum,736.55,die,high,44.84,0.91,0,0,1
Cast Iron,1206.67,ceramic,low,35.53,0.54,0,1,1
Steel,1505.03,ceramic,high,41.85,1.6,1,1,1
Cast Iron,1271.68,ceramic,high,30.37,2.32,1,1,1
Cast Iron,1324.0,die,low,28.63,2.94,1,1,0
Aluminum,731.62,die,medium,37.58,2.46,0,0,1
Aluminum,676.39,sand,high,5.89,1.95,0,0,1
Cast Iron,1315.91,die,low,36.07,0.57,1,1,0
Cast Iron,1290.24,sand,high,47.05,2.56,0,0,1
Cast Iron,1347.97,ceramic,high,37.13,0.94,0,1,1
Cast Iron,1337.09,ceramic,low,6.66,0.64,1,1,0
Aluminum,703.31,ceramic,high,22.0,2.63,0,0,1
Steel,1562.49,sand,high,41.43,1.92,0,0,0
Aluminum,707.02,die,high,48.14,0.82,0,0,1
Steel,1539.25,ceramic,medium,21.66,1.47,1,1,0
Cast Iron,1170.3,die,medium,42.85,0.71,0,1,1
Steel,1450.34,die,high,43.87,2.1,1,1,0
Aluminum,654.82,ceramic,low,10.55,1.21,0,0,0
Aluminum,746.66,sand,high,43.06,2.67,0,0,1
Cast Iron,1175.25,die,high,19.59,1.39,0,0,0
Aluminum,654.44,ceramic,medium,31.7,1.74,0,0,1
Cast Iron,1211.93,die,medium,29.25,0.66,0,1,0
Aluminum,708.82,die,medium,34.84,1.19,0,0,1
Aluminum,744.85,die,high,38.32,2.19,0,0,1
Cast Iron,1289.98,die,high,24.84,2.34,1,1,0
Steel,1491.45,die,low,44.97,1.11,1,1,0
Aluminum,743.91,sand,high,41.43,1.76,0,0,1
Steel,1455.41,sand,high,40.34,2.54,1,1,1
Aluminum,747.91,ceramic,medium,25.62,1.45,0,0,1
Aluminum,655.86,sand,medium,6.69,0.83,0,0,1
Aluminum,725.38,sand,medium,27.15,1.58,0,1,1
Aluminum,654.53,sand,medium,45.43,2.0,0,0,1
Steel,1589.73,die,medium,13.57,0.52,0,1,0
Steel,1466.3,die,low,49.22,1.37,1,1,0
Aluminum,655.05,ceramic,low,41.35,2.02,0,1,1
Aluminum,738.93,ceramic,low,36.94,2.88,1,1,1
Steel,1464.37,ceramic,medium,35.47,1.52,1,1,0
Cast Iron,1309.59,die,medium,31.42,0.91,0,1,0
Cast Iron,1299.41,sand,medium,37.43,1.84,1,1,1
Steel,1539.83,sand,low,23.99,1.21,1,1,0
Aluminum,687.8,die,medium,43.04,1.04,0,0,1
Aluminum,741.56,ceramic,low,36.34,1.98,1,1,1
Cast Iron,1324.22,ceramic,medium,39.71,2.79,1,1,1
Cast Iron,1235.25,ceramic,high,40.66,2.59,1,1,1
Steel,1484.76,die,low,9.14,0.96,1,1,0
Cast Iron,1204.51,ceramic,high,7.5,2.41,0,0,0
Steel,1483.05,ceramic,low,41.04,1.07,1,1,1
Cast Iron,1258.25,die,medium,16.67,1.23,0,1,0
Cast Iron,1323.71,sand,medium,31.19,2.8,1,1,1
Cast Iron,1304.72,die,high,24.97,2.78,1,1,0
Aluminum,729.55,die,medium,5.99,0.92,0,0,0
Aluminum,694.83,die,low,6.81,0.66,0,1,1
Aluminum,682.24,die,medium,42.22,1.23,0,1,1
Cast Iron,1301.47,sand,medium,32.35,1.95,1,1,1
Steel,1568.99,ceramic,low,28.57,2.69,1,1,0
Steel,1554.3,die,high,47.5,0.8,0,1,0
Steel,1454.82,sand,high,12.79,1.54,1,0,0
Steel,1538.45,ceramic,medium,16.61,1.18,1,1,0
Aluminum,684.7,ceramic,low,39.05,0.54,0,1,1
Aluminum,669.62,ceramic,high,39.89,2.47,0,0,1
Cast Iron,1288.88,die,high,23.22,2.53,1,0,0
Cast Iron,1203.71,die,medium,47.79,1.05,1,1,1
Steel,1586.93,ceramic,low,47.22,0.88,1,1,1
Aluminum,679.81,ceramic,high,5.56,0.86,0,0,1
Steel,1533.28,ceramic,medium,12.75,1.66,1,1,0
Cast Iron,1315.55,ceramic,medium,41.91,1.12,0,1,1
Cast Iron,1230.42,ceramic,medium,20.08,1.78,0,1,0
Steel,1574.3,ceramic,medium,9.3,1.46,1,1,0
Cast Iron,1294.74,sand,high,40.32,1.03,0,1,1
Steel,1588.13,ceramic,low,25.46,2.38,1,1,0
Aluminum,682.58,die,medium,27.16,0.88,0,0,1
Steel,1465.75,die,medium,13.39,2.5,1,1,0
Aluminum,693.03,die,high,34.74,1.9,0,0,1
